Athlete Name,Year,Team,Time,Event
"Dagrin, Loubert",SO-2,Louisiana,13.89,110H
"Thompson, Jordan",SR-4,Southern,13.89,110H
"Wilmington, Cameron",JR-3,Kansas,13.9,110H
"Bourne III, Michael",SO-2,South Florida,13.91,110H
"Morris, Elijah",JR-3,Baylor,13.91,110H
"Gardner, Shane",FR-1,Penn,13.91,110H
"Ford, DeVontae",SO-2,Illinois,13.91,110H
"Hawkins, Zachary",JR-3,Howard,13.92,110H
"Benson, Jordan",JR-3,Davidson,13.94,110H
"Hayes, D'Andre",SR-4,Charlotte,13.94,110H
"Whitney, Caleb",SR-4,Weber State,13.94,110H
"Wearing , Giovanni",FR-1,Wisconsin,13.95,110H
"Steinforth, Till",SO-2,Nebraska,13.95,110H
"Anderson, Rainey",SR-4,Grambling,13.95,110H
"Hering, Jurrian",JR-3,Idaho,13.96,110H
"Hudgens, Isaiah",JR-3,Incarnate Word,13.96,110H
